Sekce,Typ otázky,Otázka,Správná odpověď,Vysvětlení
B,Předchozí zastávka,"Linka 3 – jaká zastávka PŘEDCHÁZÍ zastávce „Bystrc Ečerova"" (směr Bystrc Ečerova)?",Ondrouškova,Před zastávkou Bystrc Ečerova na lince 3 je Ondrouškova.
B,Doplň chybějící zastávku,"Linka 3 – doplň chybějící zastávku: „Židenice Stará osada"" → ??? → „Vojenská nemocnice""",Kuldova,Chybějící zastávka mezi Židenice Stará osada a Vojenská nemocnice na lince 3 je Kuldova.
B,Doplň chybějící zastávku,"Linka 3 – doplň chybějící zastávku: „Kuldova"" → ??? → „Jugoslávská (Cejl)""",Vojenská nemocnice,Chybějící zastávka mezi Kuldova a Jugoslávská (Cejl) na lince 3 je Vojenská nemocnice.
B,Doplň chybějící zastávku,"Linka 3 – doplň chybějící zastávku: „Vojenská nemocnice"" → ??? → „Dětská nemocnice""",Jugoslávská (Cejl),Chybějící zastávka mezi Vojenská nemocnice a Dětská nemocnice na lince 3 je Jugoslávská (Cejl).
B,Doplň chybějící zastávku,"Linka 3 – doplň chybějící zastávku: „Jugoslávská (Cejl)"" → ??? → „Náměstí 28. října""",Dětská nemocnice,Chybějící zastávka mezi Jugoslávská (Cejl) a Náměstí 28. října na lince 3 je Dětská nemocnice.
B,Doplň chybějící zastávku,"Linka 3 – doplň chybějící zastávku: „Dětská nemocnice"" → ??? → „Moravské náměstí (Černá Pole)""",Náměstí 28. října,Chybějící zastávka mezi Dětská nemocnice a Moravské náměstí (Černá Pole) na lince 3 je Náměstí 28. října.
B,Doplň chybějící zastávku,"Linka 3 – doplň chybějící zastávku: „Náměstí 28. října"" → ??? → „Česká (Česká)""",Moravské náměstí (Černá Pole),Chybějící zastávka mezi Náměstí 28. října a Česká (Česká) na lince 3 je Moravské náměstí (Černá Pole).
B,Doplň chybějící zastávku,"Linka 3 – doplň chybějící zastávku: „Moravské náměstí (Černá Pole)"" → ??? → „Grohova""",Česká (Česká),Chybějící zastávka mezi Moravské náměstí (Černá Pole) a Grohova na lince 3 je Česká (Česká).
B,Doplň chybějící zastávku,"Linka 3 – doplň chybějící zastávku: „Česká (Česká)"" → ??? → „Konečného náměstí""",Grohova,Chybějící zastávka mezi Česká (Česká) a Konečného náměstí na lince 3 je Grohova.
B,Doplň chybějící zastávku,"Linka 3 – doplň chybějící zastávku: „Grohova"" → ??? → „Rybkova""",Konečného náměstí,Chybějící zastávka mezi Grohova a Rybkova na lince 3 je Konečného náměstí.
B,Doplň chybějící zastávku,"Linka 3 – doplň chybějící zastávku: „Konečného náměstí"" → ??? → „Tábor (Veveří)""",Rybkova,Chybějící zastávka mezi Konečného náměstí a Tábor (Veveří) na lince 3 je Rybkova.
B,Doplň chybějící zastávku,"Linka 3 – doplň chybějící zastávku: „Rybkova"" → ??? → „Králova""",Tábor (Veveří),Chybějící zastávka mezi Rybkova a Králova na lince 3 je Tábor (Veveří).
B,Doplň chybějící zastávku,"Linka 3 – doplň chybějící zastávku: „Tábor (Veveří)"" → ??? → „Burianovo náměstí""",Králova,Chybějící zastávka mezi Tábor (Veveří) a Burianovo náměstí na lince 3 je Králova.
B,Doplň chybějící zastávku,"Linka 3 – doplň chybějící zastávku: „Králova"" → ??? → „Mozolky""",Burianovo náměstí,Chybějící zastávka mezi Králova a Mozolky na lince 3 je Burianovo náměstí.
B,Doplň chybějící zastávku,"Linka 3 – doplň chybějící zastávku: „Burianovo náměstí"" → ??? → „Rosického náměstí""",Mozolky,Chybějící zastávka mezi Burianovo náměstí a Rosického náměstí na lince 3 je Mozolky.
B,Doplň chybějící zastávku,"Linka 3 – doplň chybějící zastávku: „Mozolky"" → ??? → „Sochorova""",Rosického náměstí,Chybějící zastávka mezi Mozolky a Sochorova na lince 3 je Rosického náměstí.
B,Doplň chybějící zastávku,"Linka 3 – doplň chybějící zastávku: „Rosického náměstí"" → ??? → „Vozovna Komín""",Sochorova,Chybějící zastávka mezi Rosického náměstí a Vozovna Komín na lince 3 je Sochorova.
B,Doplň chybějící zastávku,"Linka 3 – doplň chybějící zastávku: „Sochorova"" → ??? → „Svratecká (Kníničská)""",Vozovna Komín,Chybějící zastávka mezi Sochorova a Svratecká (Kníničská) na lince 3 je Vozovna Komín.
B,Doplň chybějící zastávku,"Linka 3 – doplň chybějící zastávku: „Vozovna Komín"" → ??? → „Branka""",Svratecká (Kníničská),Chybějící zastávka mezi Vozovna Komín a Branka na lince 3 je Svratecká (Kníničská).
B,Doplň chybějící zastávku,"Linka 3 – doplň chybějící zastávku: „Svratecká (Kníničská)"" → ??? → „Podlesí""",Branka,Chybějící zastávka mezi Svratecká (Kníničská) a Podlesí na lince 3 je Branka.
B,Doplň chybějící zastávku,"Linka 3 – doplň chybějící zastávku: „Branka"" → ??? → „Kamenolom""",Podlesí,Chybějící zastávka mezi Branka a Kamenolom na lince 3 je Podlesí.
B,Doplň chybějící zastávku,"Linka 3 – doplň chybějící zastávku: „Podlesí"" → ??? → „Zoologická zahrada (Obvodová)""",Kamenolom,Chybějící zastávka mezi Podlesí a Zoologická zahrada (Obvodová) na lince 3 je Kamenolom.
B,Doplň chybějící zastávku,"Linka 3 – doplň chybějící zastávku: „Kamenolom"" → ??? → „Přístaviště""",Zoologická zahrada (Obvodová),Chybějící zastávka mezi Kamenolom a Přístaviště na lince 3 je Zoologická zahrada (Obvodová).
B,Doplň chybějící zastávku,"Linka 3 – doplň chybějící zastávku: „Zoologická zahrada (Obvodová)"" → ??? → „Kubíčkova""",Přístaviště,Chybějící zastávka mezi Zoologická zahrada (Obvodová) a Kubíčkova na lince 3 je Přístaviště.
B,Doplň chybějící zastávku,"Linka 3 – doplň chybějící zastávku: „Přístaviště"" → ??? → „Ondrouškova""",Kubíčkova,Chybějící zastávka mezi Přístaviště a Ondrouškova na lince 3 je Kubíčkova.
B,Doplň chybějící zastávku,"Linka 3 – doplň chybějící zastávku: „Kubíčkova"" → ??? → „Bystrc Ečerova""",Ondrouškova,Chybějící zastávka mezi Kubíčkova a Bystrc Ečerova na lince 3 je Ondrouškova.
B,Je zastávka na lince? (ANO),"Je zastávka „Židenice Stará osada"" na lince 3?",ANO,"Ano, zastávka Židenice Stará osada se nachází na lince 3."
B,Je zastávka na lince? (ANO),"Je zastávka „Kuldova"" na lince 3?",ANO,"Ano, zastávka Kuldova se nachází na lince 3."
B,Je zastávka na lince? (ANO),"Je zastávka „Vojenská nemocnice"" na lince 3?",ANO,"Ano, zastávka Vojenská nemocnice se nachází na lince 3."
B,Je zastávka na lince? (ANO),"Je zastávka „Jugoslávská (Cejl)"" na lince 3?",ANO,"Ano, zastávka Jugoslávská (Cejl) se nachází na lince 3."
B,Je zastávka na lince? (ANO),"Je zastávka „Dětská nemocnice"" na lince 3?",ANO,"Ano, zastávka Dětská nemocnice se nachází na lince 3."
B,Je zastávka na lince? (ANO),"Je zastávka „Náměstí 28. října"" na lince 3?",ANO,"Ano, zastávka Náměstí 28. října se nachází na lince 3."
B,Je zastávka na lince? (ANO),"Je zastávka „Moravské náměstí (Černá Pole)"" na lince 3?",ANO,"Ano, zastávka Moravské náměstí (Černá Pole) se nachází na lince 3."
B,Je zastávka na lince? (ANO),"Je zastávka „Česká (Česká)"" na lince 3?",ANO,"Ano, zastávka Česká (Česká) se nachází na lince 3."
B,Je zastávka na lince? (ANO),"Je zastávka „Grohova"" na lince 3?",ANO,"Ano, zastávka Grohova se nachází na lince 3."
B,Je zastávka na lince? (ANO),"Je zastávka „Konečného náměstí"" na lince 3?",ANO,"Ano, zastávka Konečného náměstí se nachází na lince 3."
B,Je zastávka na lince? (ANO),"Je zastávka „Rybkova"" na lince 3?",ANO,"Ano, zastávka Rybkova se nachází na lince 3."
B,Je zastávka na lince? (ANO),"Je zastávka „Tábor (Veveří)"" na lince 3?",ANO,"Ano, zastávka Tábor (Veveří) se nachází na lince 3."
B,Je zastávka na lince? (ANO),"Je zastávka „Králova"" na lince 3?",ANO,"Ano, zastávka Králova se nachází na lince 3."
B,Je zastávka na lince? (ANO),"Je zastávka „Burianovo náměstí"" na lince 3?",ANO,"Ano, zastávka Burianovo náměstí se nachází na lince 3."
B,Je zastávka na lince? (ANO),"Je zastávka „Mozolky"" na lince 3?",ANO,"Ano, zastávka Mozolky se nachází na lince 3."
B,Je zastávka na lince? (ANO),"Je zastávka „Rosického náměstí"" na lince 3?",ANO,"Ano, zastávka Rosického náměstí se nachází na lince 3."
B,Je zastávka na lince? (ANO),"Je zastávka „Sochorova"" na lince 3?",ANO,"Ano, zastávka Sochorova se nachází na lince 3."
B,Je zastávka na lince? (ANO),"Je zastávka „Vozovna Komín"" na lince 3?",ANO,"Ano, zastávka Vozovna Komín se nachází na lince 3."
B,Je zastávka na lince? (ANO),"Je zastávka „Svratecká (Kníničská)"" na lince 3?",ANO,"Ano, zastávka Svratecká (Kníničská) se nachází na lince 3."
B,Je zastávka na lince? (ANO),"Je zastávka „Branka"" na lince 3?",ANO,"Ano, zastávka Branka se nachází na lince 3."
B,Je zastávka na lince? (ANO),"Je zastávka „Podlesí"" na lince 3?",ANO,"Ano, zastávka Podlesí se nachází na lince 3."
B,Je zastávka na lince? (ANO),"Je zastávka „Kamenolom"" na lince 3?",ANO,"Ano, zastávka Kamenolom se nachází na lince 3."
B,Je zastávka na lince? (ANO),"Je zastávka „Zoologická zahrada (Obvodová)"" na lince 3?",ANO,"Ano, zastávka Zoologická zahrada (Obvodová) se nachází na lince 3."
B,Je zastávka na lince? (ANO),"Je zastávka „Přístaviště"" na lince 3?",ANO,"Ano, zastávka Přístaviště se nachází na lince 3."
B,Je zastávka na lince? (ANO),"Je zastávka „Kubíčkova"" na lince 3?",ANO,"Ano, zastávka Kubíčkova se nachází na lince 3."
B,Je zastávka na lince? (ANO),"Je zastávka „Ondrouškova"" na lince 3?",ANO,"Ano, zastávka Ondrouškova se nachází na lince 3."
B,Je zastávka na lince? (ANO),"Je zastávka „Bystrc Ečerova"" na lince 3?",ANO,"Ano, zastávka Bystrc Ečerova se nachází na lince 3."
B,Která zastávka NENÍ na lince,"Linka 3 – je zastávka „Řečkovice"" na této lince?",NE,Zastávka Řečkovice se NENACHÁZÍ na lince 3.
B,Která zastávka NENÍ na lince,"Linka 3 – je zastávka „Filkukova"" na této lince?",NE,Zastávka Filkukova se NENACHÁZÍ na lince 3.
B,Která zastávka NENÍ na lince,"Linka 3 – je zastávka „Kořískova"" na této lince?",NE,Zastávka Kořískova se NENACHÁZÍ na lince 3.
B,Která zastávka NENÍ na lince,"Linka 3 – je zastávka „Hudcova"" na této lince?",NE,Zastávka Hudcova se NENACHÁZÍ na lince 3.
B,Která zastávka NENÍ na lince,"Linka 3 – je zastávka „Vozovna Medlánky"" na této lince?",NE,Zastávka Vozovna Medlánky se NENACHÁZÍ na lince 3.
B,Kolikátá zastávka,"Linka 3 – kolikátá zastávka je „Židenice Stará osada"" od zastávky „Židenice Stará osada""?",1. zastávka,Zastávka Židenice Stará osada je 1. zastávka linky 3 od Židenice Stará osada.
B,Kolikátá zastávka,"Linka 3 – kolikátá zastávka je „Kuldova"" od zastávky „Židenice Stará osada""?",2. zastávka,Zastávka Kuldova je 2. zastávka linky 3 od Židenice Stará osada.
B,Kolikátá zastávka,"Linka 3 – kolikátá zastávka je „Vojenská nemocnice"" od zastávky „Židenice Stará osada""?",3. zastávka,Zastávka Vojenská nemocnice je 3. zastávka linky 3 od Židenice Stará osada.
B,Kolikátá zastávka,"Linka 3 – kolikátá zastávka je „Jugoslávská (Cejl)"" od zastávky „Židenice Stará osada""?",4. zastávka,Zastávka Jugoslávská (Cejl) je 4. zastávka linky 3 od Židenice Stará osada.
B,Kolikátá zastávka,"Linka 3 – kolikátá zastávka je „Dětská nemocnice"" od zastávky „Židenice Stará osada""?",5. zastávka,Zastávka Dětská nemocnice je 5. zastávka linky 3 od Židenice Stará osada.
B,Kolikátá zastávka,"Linka 3 – kolikátá zastávka je „Náměstí 28. října"" od zastávky „Židenice Stará osada""?",6. zastávka,Zastávka Náměstí 28. října je 6. zastávka linky 3 od Židenice Stará osada.
B,Kolikátá zastávka,"Linka 3 – kolikátá zastávka je „Moravské náměstí (Černá Pole)"" od zastávky „Židenice Stará osada""?",7. zastávka,Zastávka Moravské náměstí (Černá Pole) je 7. zastávka linky 3 od Židenice Stará osada.
B,Kolikátá zastávka,"Linka 3 – kolikátá zastávka je „Česká (Česká)"" od zastávky „Židenice Stará osada""?",8. zastávka,Zastávka Česká (Česká) je 8. zastávka linky 3 od Židenice Stará osada.
B,Kolikátá zastávka,"Linka 3 – kolikátá zastávka je „Grohova"" od zastávky „Židenice Stará osada""?",9. zastávka,Zastávka Grohova je 9. zastávka linky 3 od Židenice Stará osada.
B,Kolikátá zastávka,"Linka 3 – kolikátá zastávka je „Konečného náměstí"" od zastávky „Židenice Stará osada""?",10. zastávka,Zastávka Konečného náměstí je 10. zastávka linky 3 od Židenice Stará osada.
B,Kolikátá zastávka,"Linka 3 – kolikátá zastávka je „Rybkova"" od zastávky „Židenice Stará osada""?",11. zastávka,Zastávka Rybkova je 11. zastávka linky 3 od Židenice Stará osada.
B,Kolikátá zastávka,"Linka 3 – kolikátá zastávka je „Tábor (Veveří)"" od zastávky „Židenice Stará osada""?",12. zastávka,Zastávka Tábor (Veveří) je 12. zastávka linky 3 od Židenice Stará osada.
B,Kolikátá zastávka,"Linka 3 – kolikátá zastávka je „Králova"" od zastávky „Židenice Stará osada""?",13. zastávka,Zastávka Králova je 13. zastávka linky 3 od Židenice Stará osada.
B,Kolikátá zastávka,"Linka 3 – kolikátá zastávka je „Burianovo náměstí"" od zastávky „Židenice Stará osada""?",14. zastávka,Zastávka Burianovo náměstí je 14. zastávka linky 3 od Židenice Stará osada.
B,Kolikátá zastávka,"Linka 3 – kolikátá zastávka je „Mozolky"" od zastávky „Židenice Stará osada""?",15. zastávka,Zastávka Mozolky je 15. zastávka linky 3 od Židenice Stará osada.
B,Kolikátá zastávka,"Linka 3 – kolikátá zastávka je „Rosického náměstí"" od zastávky „Židenice Stará osada""?",16. zastávka,Zastávka Rosického náměstí je 16. zastávka linky 3 od Židenice Stará osada.
B,Kolikátá zastávka,"Linka 3 – kolikátá zastávka je „Sochorova"" od zastávky „Židenice Stará osada""?",17. zastávka,Zastávka Sochorova je 17. zastávka linky 3 od Židenice Stará osada.
B,Kolikátá zastávka,"Linka 3 – kolikátá zastávka je „Vozovna Komín"" od zastávky „Židenice Stará osada""?",18. zastávka,Zastávka Vozovna Komín je 18. zastávka linky 3 od Židenice Stará osada.
B,Kolikátá zastávka,"Linka 3 – kolikátá zastávka je „Svratecká (Kníničská)"" od zastávky „Židenice Stará osada""?",19. zastávka,Zastávka Svratecká (Kníničská) je 19. zastávka linky 3 od Židenice Stará osada.
B,Kolikátá zastávka,"Linka 3 – kolikátá zastávka je „Branka"" od zastávky „Židenice Stará osada""?",20. zastávka,Zastávka Branka je 20. zastávka linky 3 od Židenice Stará osada.
B,Kolikátá zastávka,"Linka 3 – kolikátá zastávka je „Podlesí"" od zastávky „Židenice Stará osada""?",21. zastávka,Zastávka Podlesí je 21. zastávka linky 3 od Židenice Stará osada.
B,Kolikátá zastávka,"Linka 3 – kolikátá zastávka je „Kamenolom"" od zastávky „Židenice Stará osada""?",22. zastávka,Zastávka Kamenolom je 22. zastávka linky 3 od Židenice Stará osada.
B,Kolikátá zastávka,"Linka 3 – kolikátá zastávka je „Zoologická zahrada (Obvodová)"" od zastávky „Židenice Stará osada""?",23. zastávka,Zastávka Zoologická zahrada (Obvodová) je 23. zastávka linky 3 od Židenice Stará osada.
B,Kolikátá zastávka,"Linka 3 – kolikátá zastávka je „Přístaviště"" od zastávky „Židenice Stará osada""?",24. zastávka,Zastávka Přístaviště je 24. zastávka linky 3 od Židenice Stará osada.
B,Kolikátá zastávka,"Linka 3 – kolikátá zastávka je „Kubíčkova"" od zastávky „Židenice Stará osada""?",25. zastávka,Zastávka Kubíčkova je 25. zastávka linky 3 od Židenice Stará osada.
B,Kolikátá zastávka,"Linka 3 – kolikátá zastávka je „Ondrouškova"" od zastávky „Židenice Stará osada""?",26. zastávka,Zastávka Ondrouškova je 26. zastávka linky 3 od Židenice Stará osada.
B,Kolikátá zastávka,"Linka 3 – kolikátá zastávka je „Bystrc Ečerova"" od zastávky „Židenice Stará osada""?",27. zastávka,Zastávka Bystrc Ečerova je 27. zastávka linky 3 od Židenice Stará osada.
B,Jaká je N. zastávka,Linka 3 – jaká je 1. zastávka (počítáno od Židenice Stará osada)?,Židenice Stará osada,1. zastávka linky 3 je Židenice Stará osada.
B,Jaká je N. zastávka,Linka 3 – jaká je 2. zastávka (počítáno od Židenice Stará osada)?,Kuldova,2. zastávka linky 3 je Kuldova.
B,Jaká je N. zastávka,Linka 3 – jaká je 3. zastávka (počítáno od Židenice Stará osada)?,Vojenská nemocnice,3. zastávka linky 3 je Vojenská nemocnice.
B,Jaká je N. zastávka,Linka 3 – jaká je 4. zastávka (počítáno od Židenice Stará osada)?,Jugoslávská (Cejl),4. zastávka linky 3 je Jugoslávská (Cejl).
B,Jaká je N. zastávka,Linka 3 – jaká je 5. zastávka (počítáno od Židenice Stará osada)?,Dětská nemocnice,5. zastávka linky 3 je Dětská nemocnice.
B,Jaká je N. zastávka,Linka 3 – jaká je 6. zastávka (počítáno od Židenice Stará osada)?,Náměstí 28. října,6. zastávka linky 3 je Náměstí 28. října.
B,Jaká je N. zastávka,Linka 3 – jaká je 7. zastávka (počítáno od Židenice Stará osada)?,Moravské náměstí (Černá Pole),7. zastávka linky 3 je Moravské náměstí (Černá Pole).
B,Jaká je N. zastávka,Linka 3 – jaká je 8. zastávka (počítáno od Židenice Stará osada)?,Česká (Česká),8. zastávka linky 3 je Česká (Česká).
B,Jaká je N. zastávka,Linka 3 – jaká je 9. zastávka (počítáno od Židenice Stará osada)?,Grohova,9. zastávka linky 3 je Grohova.
B,Jaká je N. zastávka,Linka 3 – jaká je 10. zastávka (počítáno od Židenice Stará osada)?,Konečného náměstí,10. zastávka linky 3 je Konečného náměstí.
B,Jaká je N. zastávka,Linka 3 – jaká je 11. zastávka (počítáno od Židenice Stará osada)?,Rybkova,11. zastávka linky 3 je Rybkova.
B,Jaká je N. zastávka,Linka 3 – jaká je 12. zastávka (počítáno od Židenice Stará osada)?,Tábor (Veveří),12. zastávka linky 3 je Tábor (Veveří).
B,Jaká je N. zastávka,Linka 3 – jaká je 13. zastávka (počítáno od Židenice Stará osada)?,Králova,13. zastávka linky 3 je Králova.
B,Jaká je N. zastávka,Linka 3 – jaká je 14. zastávka (počítáno od Židenice Stará osada)?,Burianovo náměstí,14. zastávka linky 3 je Burianovo náměstí.
B,Jaká je N. zastávka,Linka 3 – jaká je 15. zastávka (počítáno od Židenice Stará osada)?,Mozolky,15. zastávka linky 3 je Mozolky.
B,Jaká je N. zastávka,Linka 3 – jaká je 16. zastávka (počítáno od Židenice Stará osada)?,Rosického náměstí,16. zastávka linky 3 je Rosického náměstí.
B,Jaká je N. zastávka,Linka 3 – jaká je 17. zastávka (počítáno od Židenice Stará osada)?,Sochorova,17. zastávka linky 3 je Sochorova.
B,Jaká je N. zastávka,Linka 3 – jaká je 18. zastávka (počítáno od Židenice Stará osada)?,Vozovna Komín,18. zastávka linky 3 je Vozovna Komín.
B,Jaká je N. zastávka,Linka 3 – jaká je 19. zastávka (počítáno od Židenice Stará osada)?,Svratecká (Kníničská),19. zastávka linky 3 je Svratecká (Kníničská).
B,Jaká je N. zastávka,Linka 3 – jaká je 20. zastávka (počítáno od Židenice Stará osada)?,Branka,20. zastávka linky 3 je Branka.
B,Jaká je N. zastávka,Linka 3 – jaká je 21. zastávka (počítáno od Židenice Stará osada)?,Podlesí,21. zastávka linky 3 je Podlesí.
B,Jaká je N. zastávka,Linka 3 – jaká je 22. zastávka (počítáno od Židenice Stará osada)?,Kamenolom,22. zastávka linky 3 je Kamenolom.
B,Jaká je N. zastávka,Linka 3 – jaká je 23. zastávka (počítáno od Židenice Stará osada)?,Zoologická zahrada (Obvodová),23. zastávka linky 3 je Zoologická zahrada (Obvodová).
B,Jaká je N. zastávka,Linka 3 – jaká je 24. zastávka (počítáno od Židenice Stará osada)?,Přístaviště,24. zastávka linky 3 je Přístaviště.
B,Jaká je N. zastávka,Linka 3 – jaká je 25. zastávka (počítáno od Židenice Stará osada)?,Kubíčkova,25. zastávka linky 3 je Kubíčkova.
B,Jaká je N. zastávka,Linka 3 – jaká je 26. zastávka (počítáno od Židenice Stará osada)?,Ondrouškova,26. zastávka linky 3 je Ondrouškova.
B,Jaká je N. zastávka,Linka 3 – jaká je 27. zastávka (počítáno od Židenice Stará osada)?,Bystrc Ečerova,27. zastávka linky 3 je Bystrc Ečerova.
B,Seřaď zastávky,Linka 3 – seřaď tyto zastávky ve správném pořadí: Dětská nemocnice | Jugoslávská (Cejl) | Kuldova | Vojenská nemocnice | Židenice Stará osada,Židenice Stará osada → Kuldova → Vojenská nemocnice → Jugoslávská (Cejl) → Dětská nemocnice,Správné pořadí na lince 3: Židenice Stará osada → Kuldova → Vojenská nemocnice → Jugoslávská (Cejl) → Dětská nemocnice
B,Seřaď zastávky,Linka 3 – seřaď tyto zastávky ve správném pořadí: Dětská nemocnice | Jugoslávská (Cejl) | Kuldova | Náměstí 28. října | Vojenská nemocnice,Kuldova → Vojenská nemocnice → Jugoslávská (Cejl) → Dětská nemocnice → Náměstí 28. října,Správné pořadí na lince 3: Kuldova → Vojenská nemocnice → Jugoslávská (Cejl) → Dětská nemocnice → Náměstí 28. října
B,Seřaď zastávky,Linka 3 – seřaď tyto zastávky ve správném pořadí: Dětská nemocnice | Jugoslávská (Cejl) | Moravské náměstí (Černá Pole) | Náměstí 28. října | Vojenská nemocnice,Vojenská nemocnice → Jugoslávská (Cejl) → Dětská nemocnice → Náměstí 28. října → Moravské náměstí (Černá Pole),Správné pořadí na lince 3: Vojenská nemocnice → Jugoslávská (Cejl) → Dětská nemocnice → Náměstí 28. října → Moravské náměstí (Černá Pole)
B,Seřaď zastávky,Linka 3 – seřaď tyto zastávky ve správném pořadí: Dětská nemocnice | Jugoslávská (Cejl) | Moravské náměstí (Černá Pole) | Náměstí 28. října | Česká (Česká),Jugoslávská (Cejl) → Dětská nemocnice → Náměstí 28. října → Moravské náměstí (Černá Pole) → Česká (Česká),Správné pořadí na lince 3: Jugoslávská (Cejl) → Dětská nemocnice → Náměstí 28. října → Moravské náměstí (Černá Pole) → Česká (Česká)
B,Seřaď zastávky,Linka 3 – seřaď tyto zastávky ve správném pořadí: Dětská nemocnice | Grohova | Moravské náměstí (Černá Pole) | Náměstí 28. října | Česká (Česká),Dětská nemocnice → Náměstí 28. října → Moravské náměstí (Černá Pole) → Česká (Česká) → Grohova,Správné pořadí na lince 3: Dětská nemocnice → Náměstí 28. října → Moravské náměstí (Černá Pole) → Česká (Česká) → Grohova
B,Seřaď zastávky,Linka 3 – seřaď tyto zastávky ve správném pořadí: Grohova | Konečného náměstí | Moravské náměstí (Černá Pole) | Náměstí 28. října | Česká (Česká),Náměstí 28. října → Moravské náměstí (Černá Pole) → Česká (Česká) → Grohova → Konečného náměstí,Správné pořadí na lince 3: Náměstí 28. října → Moravské náměstí (Černá Pole) → Česká (Česká) → Grohova → Konečného náměstí
B,Seřaď zastávky,Linka 3 – seřaď tyto zastávky ve správném pořadí: Grohova | Konečného náměstí | Moravské náměstí (Černá Pole) | Rybkova | Česká (Česká),Moravské náměstí (Černá Pole) → Česká (Česká) → Grohova → Konečného náměstí → Rybkova,Správné pořadí na lince 3: Moravské náměstí (Černá Pole) → Česká (Česká) → Grohova → Konečného náměstí → Rybkova
B,Seřaď zastávky,Linka 3 – seřaď tyto zastávky ve správném pořadí: Grohova | Konečného náměstí | Rybkova | Tábor (Veveří) | Česká (Česká),Česká (Česká) → Grohova → Konečného náměstí → Rybkova → Tábor (Veveří),Správné pořadí na lince 3: Česká (Česká) → Grohova → Konečného náměstí → Rybkova → Tábor (Veveří)
B,Seřaď zastávky,Linka 3 – seřaď tyto zastávky ve správném pořadí: Grohova | Konečného náměstí | Králova | Rybkova | Tábor (Veveří),Grohova → Konečného náměstí → Rybkova → Tábor (Veveří) → Králova,Správné pořadí na lince 3: Grohova → Konečného náměstí → Rybkova → Tábor (Veveří) → Králova
B,Seřaď zastávky,Linka 3 – seřaď tyto zastávky ve správném pořadí: Burianovo náměstí | Konečného náměstí | Králova | Rybkova | Tábor (Veveří),Konečného náměstí → Rybkova → Tábor (Veveří) → Králova → Burianovo náměstí,Správné pořadí na lince 3: Konečného náměstí → Rybkova → Tábor (Veveří) → Králova → Burianovo náměstí
B,Seřaď zastávky,Linka 3 – seřaď tyto zastávky ve správném pořadí: Burianovo náměstí | Králova | Mozolky | Rybkova | Tábor (Veveří),Rybkova → Tábor (Veveří) → Králova → Burianovo náměstí → Mozolky,Správné pořadí na lince 3: Rybkova → Tábor (Veveří) → Králova → Burianovo náměstí → Mozolky
B,Seřaď zastávky,Linka 3 – seřaď tyto zastávky ve správném pořadí: Burianovo náměstí | Králova | Mozolky | Rosického náměstí | Tábor (Veveří),Tábor (Veveří) → Králova → Burianovo náměstí → Mozolky → Rosického náměstí,Správné pořadí na lince 3: Tábor (Veveří) → Králova → Burianovo náměstí → Mozolky → Rosického náměstí
B,Seřaď zastávky,Linka 3 – seřaď tyto zastávky ve správném pořadí: Burianovo náměstí | Králova | Mozolky | Rosického náměstí | Sochorova,Králova → Burianovo náměstí → Mozolky → Rosického náměstí → Sochorova,Správné pořadí na lince 3: Králova → Burianovo náměstí → Mozolky → Rosického náměstí → Sochorova
B,Seřaď zastávky,Linka 3 – seřaď tyto zastávky ve správném pořadí: Burianovo náměstí | Mozolky | Rosického náměstí | Sochorova | Vozovna Komín,Burianovo náměstí → Mozolky → Rosického náměstí → Sochorova → Vozovna Komín,Správné pořadí na lince 3: Burianovo náměstí → Mozolky → Rosického náměstí → Sochorova → Vozovna Komín
B,Seřaď zastávky,Linka 3 – seřaď tyto zastávky ve správném pořadí: Mozolky | Rosického náměstí | Sochorova | Svratecká (Kníničská) | Vozovna Komín,Mozolky → Rosického náměstí → Sochorova → Vozovna Komín → Svratecká (Kníničská),Správné pořadí na lince 3: Mozolky → Rosického náměstí → Sochorova → Vozovna Komín → Svratecká (Kníničská)
B,Seřaď zastávky,Linka 3 – seřaď tyto zastávky ve správném pořadí: Branka | Rosického náměstí | Sochorova | Svratecká (Kníničská) | Vozovna Komín,Rosického náměstí → Sochorova → Vozovna Komín → Svratecká (Kníničská) → Branka,Správné pořadí na lince 3: Rosického náměstí → Sochorova → Vozovna Komín → Svratecká (Kníničská) → Branka
B,Seřaď zastávky,Linka 3 – seřaď tyto zastávky ve správném pořadí: Branka | Podlesí | Sochorova | Svratecká (Kníničská) | Vozovna Komín,Sochorova → Vozovna Komín → Svratecká (Kníničská) → Branka → Podlesí,Správné pořadí na lince 3: Sochorova → Vozovna Komín → Svratecká (Kníničská) → Branka → Podlesí
B,Seřaď zastávky,Linka 3 – seřaď tyto zastávky ve správném pořadí: Branka | Kamenolom | Podlesí | Svratecká (Kníničská) | Vozovna Komín,Vozovna Komín → Svratecká (Kníničská) → Branka → Podlesí → Kamenolom,Správné pořadí na lince 3: Vozovna Komín → Svratecká (Kníničská) → Branka → Podlesí → Kamenolom
B,Seřaď zastávky,Linka 3 – seřaď tyto zastávky ve správném pořadí: Branka | Kamenolom | Podlesí | Svratecká (Kníničská) | Zoologická zahrada (Obvodová),Svratecká (Kníničská) → Branka → Podlesí → Kamenolom → Zoologická zahrada (Obvodová),Správné pořadí na lince 3: Svratecká (Kníničská) → Branka → Podlesí → Kamenolom → Zoologická zahrada (Obvodová)
